Plataforma;Tabla BD;Tag Tabla API;Campo BD;Tag Campo API;Tipo Dato;Formato;Campo personalizado de usuario;Etiqueta;Ayuda;Tipo;Tag Tabla GraphQL;Tag Campo GraphQL
API;atconav;notice;act_tmt;first_level_id;decimal;->>,>>>,>>9.999;no;Código Actividad;Actividad;opcional;notes                                             ;activity                 
API;atconav;notice;art_aso;product_id;character;X(24);no;Código Artículo;Introduzca el Código de artículo;opcional;notes                                             ;item                     
API;atconav;notice;car_avis;charge;logical;si/no;no;Cargo;;opcional;notes                                             ;charge                   
API;atconav;notice;cie_avis;closure_date;date;99/99/9999;no;Fecha de Cierre;;opcional;notes                                             ;closing_date             
API;atconav;notice;cif_cli;vat_number;character;X(18);no;C.I.F.;Introduzca el C.I.F. del Cliente;opcional;notes                                             ;tax_identification_number
API;atconav;notice;cod_acto;activity_id;integer;9999;no;Código Actividad;Actividad;opcional;notes                                             ;activity_r_502           
API;atconav;notice;cod_art;service_id;character;x(24);no;Código Artículo;Introduzca el Código del Artículo;opcional;notes                                             ;item_code                
API;atconav;notice;cod_avis;notice_id;integer;9999999;no;Número Aviso;;opcional;notes                                             ;notification             
API;atconav;notice;cod_ceen;shipping_address_id;integer;9999;no;Dirección Envio Aviso;Código de la dirección de Envio;opcional;notes                                             ;shipping_code            
API;atconav;notice;cod_cen;contact_id;integer;9999;no;Dirección Envio Cliente;Introduzca el Código de la Dirección de Envío;opcional;notes                                             ;shipping_address         
API;atconav;notice;cod_cli;customer_id;integer;99999;no;Código Cliente;Introduzca el Código de Cliente;opcional;notes                                             ;customer                 
API;atconav;notice;cod_ctr;contract_id;integer;9999999;no;Código Contrato;Introduzca Código de Contrato;opcional;notes                                             ;contract                 
API;atconav;notice;cod_del;branch_id;integer;99;no;Código Delegación;Intoduzca la delegación;opcional;notes                                             ;branch                   
API;atconav;notice;cod_dir;potential_customer_id;integer;999999;no;Código Cliente Potencial;Introduzca el Código de Cliente Potencial;opcional;notes                                             ;potential_customer       
API;atconav;notice;cod_empl;employee_id;integer;9999;no;Código Empleado;Código de Empleado que Posee el Aviso en este Estado;opcional;notes                                             ;employee                 
API;atconav;notice;cod_ent;company_id;integer;99;no;Código Empresa;Intoduzca la empresa;opcional;notes                                             ;company                  
API;atconav;notice;cod_nest;state_id;integer;99;no;Estado;Código de Estado del Aviso;opcional;notes                                             ;status                   
API;atconav;notice;cod_nse;service_number_id;integer;9999999;no;Número Servicio;Introduzca nº de servicio;opcional;notes                                             ;service_number           
API;atconav;notice;cod_pai;country_id;character;x(2);no;Código Pais;Introduzca el Código del País;opcional;notes                                             ;country                  
