name,province,population
Madrid,Madrid,3223334
Barcelona,Barcelona,1620343
Valencia,Valencia,791413
Sevilla,Sevilla,688711
Zaragoza,Zaragoza,674997
Málaga,Málaga,574654
Murcia,Murcia,453258
Palma de Mallorca,Baleares,416065
Las Palmas de Gran Canaria,Las Palmas,379925
Bilbao,Vizcaya,345821
Alicante,Alicante,334757
Córdoba,Córdoba,325701
Valladolid,Valladolid,298866
Vigo,Pontevedra,295623
Gijón,Asturias,275735
Hospitalet de Llobregat,Barcelona,269382
A Coruña,A Coruña,246056
Vitoria-Gasteiz,Álava,251774
Granada,Granada,232770
Elche,Alicante,230112
Oviedo,Asturias,220020
Badalona,Barcelona,218725
Cartagena,Murcia,218211
Terrassa,Barcelona,218535
Jerez de la Frontera,Cádiz,212830
Sabadell,Barcelona,211246
Santa Cruz de Tenerife,Santa Cruz de Tenerife,207312
Móstoles,Madrid,206478
Alcalá de Henares,Madrid,195649
Pamplona,Navarra,198491
Fuenlabrada,Madrid,193586
Almería,Almería,196851
Leganés,Madrid,188425
San Sebastián,Guipúzcoa,186409
Getafe,Madrid,183374
Burgos,Burgos,175821
Santander,Cantabria,172539
Castellón de la Plana,Castellón,170990
Albacete,Albacete,173329
Alcorcón,Madrid,170514
La Laguna,Santa Cruz de Tenerife,157503
San Cristóbal de La Laguna,Santa Cruz de Tenerife,157503
Badajoz,Badajoz,150543
Salamanca,Salamanca,144228
Huelva,Huelva,143663
Logroño,La Rioja,150876
Marbella,Málaga,147958
Tarragona,Tarragona,135542
Lleida,Lleida,138956
León,León,124303
Dos Hermanas,Sevilla,134881
Torrejón de Ardoz,Madrid,133340
Parla,Madrid,130124
Reus,Tarragona,104415
Alcobendas,Madrid,115335
Telde,Las Palmas,102472
Girona,Girona,100266
