Comunidad Autónoma;Provincia;Municipio
Andalucía;Almería;Almería
Andalucía;Almería;Roquetas de Mar
Andalucía;Almería;El Ejido
Andalucía;Almería;Níjar
Andalucía;Almería;Vícar
Andalucía;Almería;Adra
Andalucía;Almería;Huércal-Overa
Andalucía;Almería;Huércal de Almería
Andalucía;Almería;Vera
Andalucía;Almería;Cuevas del Almanzora
Andalucía;Almería;Berja
Andalucía;Almería;Albox
Andalucía;Almería;La Mojonera
Andalucía;Cádiz;Jerez de la Frontera
Andalucía;Cádiz;Algeciras
Andalucía;Cádiz;Cádiz
Andalucía;Cádiz;San Fernando
Andalucía;Cádiz;El Puerto de Santa María
Andalucía;Cádiz;Chiclana de la Frontera
Andalucía;Cádiz;Sanlúcar de Barrameda
Andalucía;Cádiz;La Línea de la Concepción
Andalucía;Cádiz;Puerto Real
Andalucía;Cádiz;Arcos de la Frontera
Andalucía;Cádiz;San Roque
Andalucía;Cádiz;Rota
Andalucía;Cádiz;Los Barrios
Andalucía;Cádiz;Conil de la Frontera
Andalucía;Cádiz;Barbate
Andalucía;Cádiz;Chipiona
Andalucía;Cádiz;Tarifa
Andalucía;Cádiz;Ubrique
Andalucía;Cádiz;Vejer de la Frontera
Andalucía;Cádiz;Villamartín
Andalucía;Cádiz;Medina-Sidonia
Andalucía;Cádiz;Jimena de la Frontera
Andalucía;Cádiz;Olvera
Andalucía;Cádiz;Bornos
Andalucía;Cádiz;Puerto Serrano
Andalucía;Cádiz;Trebujena
Andalucía;Cádiz;Benalup-Casas Viejas
Andalucía;Córdoba;Córdoba
Andalucía;Córdoba;Lucena
Andalucía;Córdoba;Puente Genil
Andalucía;Córdoba;Montilla
Andalucía;Córdoba;Priego de Córdoba
Andalucía;Córdoba;Palma del Río
Andalucía;Córdoba;Cabra
Andalucía;Córdoba;Baena
Andalucía;Córdoba;Pozoblanco
Andalucía;Córdoba;La Carlota
Andalucía;Córdoba;Aguilar de la Frontera
Andalucía;Córdoba;Peñarroya-Pueblonuevo
Andalucía;Granada;Granada
Andalucía;Granada;Motril
Andalucía;Granada;Almuñécar
Andalucía;Granada;Armilla
Andalucía;Granada;Maracena
Andalucía;Granada;Loja
Andalucía;Granada;Baza
Andalucía;Granada;Las Gabias
Andalucía;Granada;La Zubia
Andalucía;Granada;Albolote
Andalucía;Granada;Atarfe
Andalucía;Granada;Guadix
Andalucía;Granada;Churriana de la Vega
Andalucía;Granada;Santa Fe
Andalucía;Granada;Ogíjares
Andalucía;Granada;Huétor Vega
Andalucía;Granada;Peligros
Andalucía;Granada;Vegas del Genil
Andalucía;Granada;Salobreña
Andalucía;Granada;Illora
Andalucía;Huelva;Huelva
Andalucía;Huelva;Lepe
Andalucía;Huelva;Almonte
Andalucía;Huelva;Moguer
Andalucía;Huelva;Isla Cristina
Andalucía;Huelva;Ayamonte
Andalucía;Huelva;Cartaya
Andalucía;Huelva;Punta Umbría
Andalucía;Huelva;Bollullos Par del Condado
Andalucía;Huelva;Valverde del Camino
Andalucía;Huelva;Gibraleón
Andalucía;Huelva;Palos de la Frontera
Andalucía;Jaén;Jaén
Andalucía;Jaén;Linares
Andalucía;Jaén;Andújar
Andalucía;Jaén;Úbeda
Andalucía;Jaén;Martos
Andalucía;Jaén;Alcalá la Real
Andalucía;Jaén;Bailén
Andalucía;Jaén;Baeza
Andalucía;Jaén;La Carolina
Andalucía;Jaén;Torredelcampo
Andalucía;Jaén;Torredonjimeno
Andalucía;Jaén;Jódar
Andalucía;Jaén;Mancha Real
Andalucía;Jaén;Alcaudete
Andalucía;Jaén;Villacarrillo
Andalucía;Jaén;Beas de Segura
Andalucía;Málaga;Málaga
Andalucía;Málaga;Marbella
Andalucía;Málaga;Mijas
Andalucía;Málaga;Fuengirola
Andalucía;Málaga;Vélez-Málaga
Andalucía;Málaga;Estepona
Andalucía;Málaga;Torremolinos
Andalucía;Málaga;Benalmádena
Andalucía;Málaga;Rincón de la Victoria
Andalucía;Málaga;Alhaurín de la Torre
Andalucía;Málaga;Antequera
Andalucía;Málaga;Ronda
Andalucía;Málaga;Alhaurín el Grande
Andalucía;Málaga;Cártama
Andalucía;Málaga;Nerja
Andalucía;Málaga;Coín
Andalucía;Málaga;Torrox
Andalucía;Málaga;Manilva
Andalucía;Málaga;Álora
Andalucía;Málaga;Pizarra
Andalucía;Málaga;Campillos
Andalucía;Málaga;Archidona
Andalucía;Sevilla;Sevilla
Andalucía;Sevilla;Dos Hermanas
Andalucía;Sevilla;Alcalá de Guadaíra
Andalucía;Sevilla;Utrera
Andalucía;Sevilla;Mairena del Aljarafe
Andalucía;Sevilla;Écija
Andalucía;Sevilla;La Rinconada
Andalucía;Sevilla;Los Palacios y Villafranca
Andalucía;Sevilla;Coria del Río
Andalucía;Sevilla;Carmona
Andalucía;Sevilla;Mairena del Alcor
Andalucía;Sevilla;Camas
Andalucía;Sevilla;Lebrija
Andalucía;Sevilla;Tomares
Andalucía;Sevilla;Bormujos
Andalucía;Sevilla;San Juan de Aznalfarache
Andalucía;Sevilla;Marchena
Andalucía;Sevilla;Arahal
Andalucía;Sevilla;El Viso del Alcor
Andalucía;Sevilla;Lora del Río
Andalucía;Sevilla;Osuna
Andalucía;Sevilla;Castilleja de la Cuesta
Andalucía;Sevilla;Las Cabezas de San Juan
Andalucía;Sevilla;La Algaba
Andalucía;Sevilla;Espartinas
Andalucía;Sevilla;Pilas
Andalucía;Sevilla;Gines
Andalucía;Sevilla;Sanlúcar la Mayor
Andalucía;Sevilla;Estepa
Andalucía;Sevilla;La Puebla de Cazalla
Andalucía;Sevilla;Guillena
Andalucía;Sevilla;Alcalá del Río
Aragón;Huesca;Huesca
Aragón;Huesca;Monzón
Aragón;Huesca;Barbastro
